years,Netflix,Amazon,Disney_plus,Hulu
2020,517,735,74,226
2021,277,1123,70,111
1993,24,54,12,10
1996,21,60,11,4
1998,32,52,17,11
1997,34,53,13,12
2010,154,150,30,20
2013,225,227,20,48
2017,767,404,33,117
1975,7,26,4,2
1978,7,18,4,0
1983,11,16,2,1
1987,8,32,6,4
2012,173,197,29,51
2001,40,73,16,9
2002,44,83,20,17
2003,51,68,28,15
2004,55,89,23,18
2011,145,212,35,34
2008,113,138,25,13
2009,118,117,32,23
2007,74,157,20,15
2005,67,91,28,8
2006,82,120,29,14
2018,767,438,32,157
2019,633,725,61,238
1994,20,60,10,9
2015,398,280,23,59
1982,17,17,1,3
1989,15,39,4,4
2014,264,295,34,47
1990,19,36,4,4
1991,16,42,4,4
1999,32,55,19,12
2016,658,402,30,69
1986,11,36,7,5
1984,12,25,4,5
1980,11,25,4,1
1961,1,10,5,0
2000,33,72,22,13
1995,23,62,12,9
1985,9,26,5,4
1992,20,52,7,2
1976,9,12,3,1
1959,1,16,5,1
1988,16,42,5,5
1981,12,19,3,1
1972,4,19,3,4
1964,2,13,3,2
1954,2,12,4,1
1979,10,15,4,5
1958,3,15,0,1
1956,2,17,4,0
1963,1,18,3,3
1970,2,25,1,1
1973,10,17,1,3
1960,4,11,3,0
1974,6,21,4,3
1966,1,10,2,1
1971,5,16,3,2
1962,3,11,3,3
1969,2,14,4,1
1977,6,14,6,1
1967,4,15,2,1
1968,3,18,1,1
1965,2,9,3,3
1945,3,13,1,0
1946,1,20,2,0
1942,2,16,6,0
1955,3,8,7,1
1944,2,12,1,0
1947,1,22,5,0
1943,3,21,2,0
1941,0,22,7,0
1949,0,14,5,0
1920,0,3,0,0
1936,0,28,6,0
1948,0,15,5,0
1935,0,15,4,0
1937,0,24,6,0
1939,0,21,5,0
1938,0,15,5,0
1934,0,12,4,0
1940,0,16,7,0
1951,0,18,4,1
1932,0,7,3,0
1952,0,16,8,0
1929,0,4,0,0
1925,0,8,0,0
1950,0,21,6,3
1953,0,21,6,3
1933,0,5,3,0
1924,0,1,0,0
1922,0,2,0,0
1926,0,2,0,0
1930,0,5,0,0
1931,0,3,0,0
1923,0,1,0,1
1957,0,5,4,3
1927,0,1,0,0
1928,0,0,1,0
