genre,average_genre_duration,genre_count
Documentary,82,1758
Children & Family Movies,78,605
Drama,105,3779
comedy,101,2851
Thriller,99,78
Horror Movies,98,275
Action & Adventure,108,1173
International,110,166
Sci-Fi & Fantasy,107,13
Classic Movies,116,79
Stand Up,67,334
Anime,88,53
Culture,102,12
Independent Movies,99,20
Music,55,120
Romantic Movies,83,3
LGBTQ,86,11
Sports Movies,87,1
Action,102,1756
Fantasy,81,22
Adventure,99,95
Horror,89,665
Science Fiction,87,79
Arts,78,551
Fitness,21,72
Faith and Spirituality,59,12
Special Interest,130,120
Suspense,97,187
Kids,43,264
Western,74,100
Animation,41,514
Military and War,70,5
Sports,126,63
Romance,115,125
Young Adult Audience,102,2
History,78,6
Musical,94,2
Biographical,101,35
Animals & Nature,64,105
Lifestyle,2,1
Coming of Age,95,50
Concert Film,74,7
Family,74,23
Crime,118,49
Variety,24,1
Anthology,76,2
Dance,86,1
Buddy,92,13
News,,29
Reality,,7
Black Stories,103,52
Classics,109,8
Cooking & Food,110,7
Adult Animation,122,1
Mystery,114,2
Latino,,1
Cartoons,23,1
Science & Technology,,1
